PathInput,Hostname,NAME,DESCR,PID,VID,SN
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/47,"10GBASE-ZR SFP Module, Enterprise-Class",SFP-10G-ZR-S,"V01,",SPC25260029
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,Rack 0,ASR-9006 Chassis,ASR-9006,"V01,",FOX2528P1V1
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/FT0,ASR-9006 Fan Tray V2,ASR-9006-FAN-V2,"V02,",FOC2523NMBH
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/FT1,ASR-9006 Fan Tray V2,ASR-9006-FAN-V2,"V02,",FOC2523NMBQ
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/PT0,Simulated Power Tray IDPROM,A9K-AC-PEM-V2,"V02,",FOT1981P81A
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/PT0-PM0,3kW AC Power Module,PWR-3KW-AC-V2,"V03,",ART2519003T
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/PT0-PM1,3kW AC Power Module,PWR-3KW-AC-V2,"V03,",ART2519000W
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/PT0-PM2,3kW AC Power Module,PWR-3KW-AC-V2,"V03,",ART2519000D
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,0/PT0-PM3,3kW AC Power Module,PWR-3KW-AC-V2,"V03,",ART25190044
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/RSP0,ASR 9000 Route Switch Processor 5 for Packet Transport 24G,A9K-RSP5-TR,"V01,",FOC2326ND66
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/RSP1,ASR 9000 Route Switch Processor 5 for Packet Transport 24G,A9K-RSP5-TR,"V01,",FOC2322NEFA
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0,48X10G/1G  Service Edge Optimized LC,A9K-48X10GE-1G-SE,"V01,",FOC2324NG17
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-1,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM2312011R
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-2,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23120137
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-3,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM2312013A
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-4,"10GBASE-ZR SFP Module, Enterprise-Class",SFP-10G-ZR-S,"V01,",SPC2414008G
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-8,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23120123
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-9,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM231200YY
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-10,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM231200TY
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-11,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23120109
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-12,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM2312010P
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-13,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23120110
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-14,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23051475
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-15,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23080KBZ
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-16,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM230511XB
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-17,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM230511UG
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-18,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23080KSB
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-19,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM231200Z5
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-20,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM231200Z4
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-21,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM231200Z0
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-22,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM231200Z3
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-23,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM231200YZ
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-24,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23080LJJ
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-25,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM2312011A
AYA_1-CR-01_202.28.31.4_20230313-1430,RP/0/RSP1/CPU0:AYA-1-CR,0/0-PORT-26,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",OPM23120117
